                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0442,                 2.4817,                  1.453,                0.63185,                 0.6304,                0.66179,                0.31672,                 1.8042,                 1.4239,                 1.2964,               0.070018,              0.0033314,              0.0033314
                      1,                   1.89,                 1.5328,                 1.3623,                0.75064,                0.69004,                0.74939,                0.37389,                 1.7672,                 1.2204,                  1.285,               0.039798,              0.0064448,              0.0064448
                      2,                 1.9076,                 1.4913,                   1.37,                0.75723,                0.66086,                0.73991,                0.36001,                 1.7868,                 1.2098,                 1.2916,              0.0093579,              0.0093382,              0.0093382
                      3,                 1.8946,                 1.4236,                 1.3728,                0.75376,                0.77465,                0.82341,                0.41933,                 1.6987,                 1.0683,                 1.2509,                0.00901,                0.00901,                0.00901
                      4,                 1.8406,                 1.3048,                 1.3376,                0.80789,                0.75636,                0.82631,                0.43614,                 1.6472,                0.99671,                 1.2326,                0.00901,                0.00901,                0.00901
                      5,                 1.8011,                 1.2242,                 1.3145,                0.78933,                0.80174,                0.84951,                0.44236,                  1.628,                0.95932,                 1.2208,                0.00868,                0.00868,                0.00868
                      6,                 1.7669,                 1.1654,                  1.292,                0.83575,                0.79951,                0.87551,                0.47505,                  1.593,                0.88756,                 1.2026,                0.00835,                0.00835,                0.00835
                      7,                 1.7492,                 1.1266,                 1.2834,                0.82851,                0.82944,                0.89133,                0.48977,                 1.5729,                0.85908,                 1.1981,                0.00802,                0.00802,                0.00802
                      8,                 1.7287,                 1.0998,                 1.2737,                 0.8513,                0.83163,                 0.9013,                0.50056,                 1.5704,                0.83853,                  1.192,                0.00769,                0.00769,                0.00769
                      9,                 1.7079,                 1.0635,                  1.262,                0.84152,                 0.8492,                 0.9073,                  0.507,                 1.5424,                 0.8206,                 1.1801,                0.00736,                0.00736,                0.00736
                     10,                 1.6886,                 1.0471,                  1.257,                0.85654,                0.84163,                0.91366,                0.51534,                 1.5304,                0.79109,                 1.1762,                0.00703,                0.00703,                0.00703
                     11,                 1.6784,                 1.0216,                 1.2513,                0.84976,                0.86363,                 0.9216,                0.52585,                 1.5192,                 0.7815,                 1.1706,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.6636,                  1.002,                 1.2447,                0.85318,                0.86912,                0.92738,                0.52842,                 1.5175,                0.76413,                 1.1687,                0.00637,                0.00637,                0.00637
                     13,                 1.6554,                 0.9889,                 1.2388,                0.83841,                0.88407,                0.92558,                0.52796,                 1.5123,                0.74948,                 1.1662,                0.00604,                0.00604,                0.00604
                     14,                 1.6418,                0.96915,                 1.2298,                0.87508,                0.86715,                0.92963,                0.53375,                 1.4928,                0.74531,                 1.1598,                0.00571,                0.00571,                0.00571
                     15,                   1.63,                0.95915,                 1.2272,                0.85363,                0.88365,                0.93067,                0.53708,                 1.4963,                0.74044,                 1.1582,                0.00538,                0.00538,                0.00538
                     16,                 1.6156,                0.93882,                  1.219,                0.87118,                0.87057,                0.92934,                0.54338,                 1.4827,                0.72485,                 1.1557,                0.00505,                0.00505,                0.00505
                     17,                 1.6046,                0.92091,                 1.2143,                0.86464,                0.88139,                0.93534,                0.54511,                  1.479,                0.71019,                  1.152,                0.00472,                0.00472,                0.00472
                     18,                 1.5962,                 0.9093,                  1.208,                 0.8794,                0.87093,                0.93511,                0.54682,                  1.473,                0.70974,                 1.1501,                0.00439,                0.00439,                0.00439
                     19,                 1.5846,                0.89513,                 1.2041,                0.86487,                0.89307,                0.93821,                 0.5522,                 1.4665,                0.70177,                 1.1499,                0.00406,                0.00406,                0.00406
                     20,                 1.5475,                0.82084,                 1.2422,                0.85248,                 0.9046,                 0.9396,                0.55343,                  1.464,                0.69463,                 1.1456,                0.00373,                0.00373,                0.00373
                     21,                 1.5307,                 0.7963,                 1.2333,                0.87717,                0.88866,                0.94165,                0.55607,                 1.4552,                0.68444,                 1.1444,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.5143,                0.78176,                 1.2277,                0.87242,                0.89228,                0.94055,                0.55766,                 1.4532,                0.68281,                 1.1432,                0.00307,                0.00307,                0.00307
                     23,                  1.499,                0.76571,                 1.2161,                0.88311,                0.88579,                0.94043,                0.56062,                 1.4493,                0.67622,                 1.1413,                0.00274,                0.00274,                0.00274
                     24,                 1.4796,                0.74802,                 1.2103,                0.87608,                0.89079,                0.94042,                0.56046,                 1.4456,                0.67092,                 1.1407,                0.00241,                0.00241,                0.00241
                     25,                 1.4667,                0.73436,                 1.2002,                0.87788,                0.89454,                0.94125,                0.56186,                 1.4436,                0.66664,                 1.1399,                0.00208,                0.00208,                0.00208
                     26,                  1.452,                0.71998,                  1.194,                0.87935,                0.89894,                 0.9425,                0.56435,                 1.4403,                0.66195,                   1.14,                0.00175,                0.00175,                0.00175
                     27,                 1.4322,                0.70421,                 1.1871,                0.88428,                0.89725,                0.94363,                0.56421,                 1.4412,                0.66075,                 1.1404,                0.00142,                0.00142,                0.00142
                     28,                  1.415,                0.69171,                 1.1768,                0.88348,                0.89873,                 0.9444,                0.56553,                 1.4405,                0.65706,                   1.14,                0.00109,                0.00109,                0.00109
                     29,                 1.3997,                0.67736,                 1.1727,                0.88709,                0.89515,                0.94426,                0.56537,                 1.4402,                0.65518,                 1.1401,                0.00076,                0.00076,                0.00076
